X,Y,NOME_UF,TIPO,DATA_INI_U,DATA_INI_1,ACES,ULS,ARS,COD_POSTAL,COD_POST_1,DES_FREGUE,DES_CONCEL,WGS84_LAT_,WGS84_LONG,field_14,icon_url
-9.1833,38.802,USF Ramada,USF-B,12/15/2010,01-01-13,ACES Loures / Odivelas,,ARS Lisboa e Vale do Tejo,2620-488,Ramada,Uni?o das freguesias de Ramada e Cane‡as,Odivelas,38.802000000000000,-9.183299999999999,LISBOA,./0.png
-9.31784,38.6933,USF Oeiras,USF-A,5/30/2013,5/30/2013,ACES Lisboa Ocidental e Oeiras,,ARS Lisboa e Vale do Tejo,2780-163,Oeiras,"Uni?o das freguesias de Oeiras e S?o Juli?o da Barra, Pa‡o de Arcos e Caxias",Oeiras,38.693300000000001,-9.317840000000000,LISBOA,./0.png
-9.31784,38.6933,USF S?o Juli?o de Oeiras,USF-B,4/19/2007,01-01-10,ACES Lisboa Ocidental e Oeiras,,ARS Lisboa e Vale do Tejo,2780-163,Oeiras,"Uni?o das freguesias de Oeiras e S?o Juli?o da Barra, Pa‡o de Arcos e Caxias",Oeiras,38.693300000000001,-9.317840000000000,LISBOA,./0.png
-9.29501,38.7004,USF Delta,USF-B,5/16/2007,05-01-08,ACES Lisboa Ocidental e Oeiras,,ARS Lisboa e Vale do Tejo,2770-219,Pa‡o d'Arcos,"Uni?o das freguesias de Oeiras e S?o Juli?o da Barra, Pa‡o de Arcos e Caxias",Oeiras,38.700400000000002,-9.295010000000000,LISBOA,./0.png
-9.11856,38.7729,USF Jardins da Encarna‡?o,USF-A,8/14/2013,8/14/2013,ACES Lisboa Central,,ARS Lisboa e Vale do Tejo,1800-192,Lisboa,Olivais,Lisboa,38.772900000000000,-9.118560000000000,LISBOA,./0.png
-9.11856,38.7729,USF Vasco da Gama,USF-A,9/17/2013,9/17/2013,ACES Lisboa Central,,ARS Lisboa e Vale do Tejo,1800-192,Lisboa,Olivais,Lisboa,38.772900000000000,-9.118560000000000,LISBOA,./0.png
-9.33617,38.7139,USF Emergir,USF-A,4/24/2008,4/24/2008,ACES Cascais,,ARS Lisboa e Vale do Tejo,2785-780,S?o Domingos de Rana,S?o Domingos de Rana,Cascais,38.713900000000002,-9.336169999999999,LISBOA,./0.png
-9.33617,38.7139,USF S?o Domingos de Gusm?o,USF-A,4/24/2008,4/24/2008,ACES Cascais,,ARS Lisboa e Vale do Tejo,2785-780,S?o Domingos de Rana,S?o Domingos de Rana,Cascais,38.713900000000002,-9.336169999999999,LISBOA,./0.png
-9.3572,38.6975,USF Artemisa,USF-A,06-06-08,06-06-08,ACES Cascais,,ARS Lisboa e Vale do Tejo,2775-218,Parede,Uni?o das freguesias de Carcavelos e Parede,Cascais,38.697499999999998,-9.357200000000001,LISBOA,./0.png
-9.3572,38.6975,USF Kosmus,USF-A,06-02-11,06-02-11,ACES Cascais,,ARS Lisboa e Vale do Tejo,2775-218,Parede,Uni?o das freguesias de Carcavelos e Parede,Cascais,38.697499999999998,-9.357200000000001,LISBOA,./0.png
-9.13188,38.7236,USF S‚tima Colina,USF-A,11-12-12,11-12-12,ACES Lisboa Central,,ARS Lisboa e Vale do Tejo,1170-018,Lisboa,Penha de Fran‡a,Lisboa,38.723599999999998,-9.131880000000001,LISBOA,./0.png
-9.32427,38.8582,USF Lapi s,USF-A,10/18/2010,10/18/2010,ACES Sintra,,ARS Lisboa e Vale do Tejo,2715-069,Pˆro Pinheiro,"Uni?o das freguesias de Almargem do Bispo, Pˆro Pinheiro e Montelavar",Sintra,38.858199999999997,-9.324270000000000,LISBOA,./0.png
-9.05666,38.8728,USF Forte,USF-A,04-01-09,04-01-09,ACES Estu rio do Tejo,,ARS Lisboa e Vale do Tejo,2625-468,Forte da Casa,Uni?o das freguesias de P¢voa de Santa Iria e Forte da Casa,Vila Franca de Xira,38.872799999999998,-9.056660000000001,LISBOA,./0.png
-9.0826,38.8765,USF Villa Longa,USF-B,3/20/2007,05-02-08,ACES Estu rio do Tejo,,ARS Lisboa e Vale do Tejo,2625-623,Vialonga,Vialonga,Vila Franca de Xira,38.876500000000000,-9.082599999999999,LISBOA,./0.png
-9.27499,38.7523,USF M?e D ?gua,USF-A,12/20/2007,12/20/2007,ACES Sintra,,ARS Lisboa e Vale do Tejo,2745-852,Massam ,Uni?o das freguesias de Massam  e Monte Abra?o,Sintra,38.752299999999998,-9.274990000000001,LISBOA,./0.png
